ID,Country,Academic discipline,Career stage / position,How did you find out about this workshop?,Attendance/participation type,Stream only or also exercise group? Video or in-person?,Which days you plan to attend?
21,Spain,Chemical Sciences,Graduate student,Friend / Colleague,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
103,United Kingdom,"Electrical Engineering, Electronic Engineering, Information Engineering",Researcher,National HPC center,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
73,Germany,Biological Sciences,Postdoc,CodeRefinery.org,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
115,Finland,Computer and Information Sciences,Research software engineer,Another event,Instructor,I am an organizer or instructor or observer,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
222,Finland,Physical Sciences,Graduate student,Educational institute,Learner,I would like to get more information and decide later,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6); Not sure I can attend, but please keep me informed"
128,Sweden,Political Science,Research software engineer,National HPC center,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Thu, Sep 29 (Day 6)"
202,Thailand,Mathematics,Researcher,Twitter,Learner,Only watching the stream,"Not sure I can attend, but please keep me informed"
139,Finland,Computer and Information Sciences,Other,Friend / Colleague,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
191,Finland,Medical Engineering,Industry,CodeRefinery.org; Educational institute,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
27,Norway,Earth and Related Environmental Sciences,Research software engineer,CodeRefinery.org,Expert helper,Watching stream and participate in online exercise group (Code Refinery Zoom),"Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
88,Norway,Other Engineering and Technologies,Graduate student,Friend / Colleague,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
113,Finland,Other,Research software engineer,,Instructor,I am an organizer or instructor or observer,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
247,Finland,"Electrical Engineering, Electronic Engineering, Information Engineering",Researcher,Another event,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
97,Norway,"Electrical Engineering, Electronic Engineering, Information Engineering",Postdoc,Educational institute,Learner,I would like to get more information and decide later,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
223,Norway,Earth and Related Environmental Sciences,Postdoc,Friend / Colleague,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
172,Finland,,,Friend / Colleague,Learner,Only watching the stream,"Not sure I can attend, but please keep me informed"
26,Norway,Civil Engineering,Postdoc,Friend / Colleague,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
220,Sweden,Physical Sciences,Industry,Friend / Colleague,Learner,I would like to watch and exercise with others in-person,"Wed, Sep 21 (Day 2); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
89,Sweden,Mechanical Engineering,Postdoc,Educational institute,Learner,Only watching the stream,"Tue, Sep 20 (Day 1)"
127,Finland,Computer and Information Sciences,Postdoc,Educational institute,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Not sure I can attend, but please keep me informed"
140,Finland,Chemical Sciences,Researcher,National HPC center,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5)"
69,Finland,Computer and Information Sciences,Research software engineer,Friend / Colleague,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
178,Finland,Medical Engineering,Graduate student,Educational institute,Learner,I would like to watch and exercise with others in-person,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
207,United Kingdom,Psychology,Postdoc,Twitter,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Thu, Sep 29 (Day 6)"
234,Sweden,Earth and Related Environmental Sciences,Other,Friend / Colleague,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
192,India,Computer and Information Sciences,Graduate student,Another event,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3)"
144,Sweden,Mechanical Engineering,Graduate student,Educational institute; Friend / Colleague,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
149,Sweden,Environmental Engineering,Other,Friend / Colleague,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Thu, Sep 29 (Day 6)"
210,Spain,,,Twitter,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Not sure I can attend, but please keep me informed"
156,Finland,Economics and Business,Graduate student,Another event,Learner,I would like to get more information and decide later,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6); Not sure I can attend, but please keep me informed"
147,Sweden,Physical Sciences,,National HPC center,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
83,Sweden,Biological Sciences,Postdoc,,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
25,Sweden,Civil Engineering,Industry,CodeRefinery.org,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
214,Finland,,,,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6); Not sure I can attend, but please keep me informed"
22,Finland,Mechanical Engineering,Researcher,CodeRefinery.org,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6); Not sure I can attend, but please keep me informed"
47,Sweden,Biological Sciences,Postdoc,CodeRefinery.org,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Not sure I can attend, but please keep me informed"
194,Norway,Earth and Related Environmental Sciences,Researcher,Friend / Colleague,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
124,Sweden,Physical Sciences,Graduate student,Friend / Colleague,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
250,Norway,Computer and Information Sciences,Other,Friend / Colleague,Observer,Only watching the stream,"Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
18,Switzerland,Mechanical Engineering,Graduate student,CodeRefinery.org,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
161,Finland,,,Educational institute,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
252,Sweden,Clinical Medicine,Postdoc,,Learner,Only watching the stream,"Thu, Sep 29 (Day 6)"
211,Singapore,Biological Sciences,Postdoc,Twitter,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Not sure I can attend, but please keep me informed"
94,Norway,Physical Sciences,Researcher,National HPC center,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
126,Finland,"Electrical Engineering, Electronic Engineering, Information Engineering",Undergrad. student,Educational institute,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
227,Finland,Other Engineering and Technologies,Undergrad. student,Educational institute,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
154,Finland,,Graduate student,CodeRefinery.org,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Tue, Sep 27 (Day 4)"
206,India,Computer and Information Sciences,Research software engineer,Twitter,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
125,Finland,Physical Sciences,Graduate student,Another event,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
164,Finland,Computer and Information Sciences,Graduate student,Educational institute,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
185,Norway,Physical Sciences,Graduate student,Friend / Colleague,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
188,Netherlands,Physical Sciences,Industry,Another event,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
246,Finland,Health Sciences,Undergrad. student,Friend / Colleague,Learner,I would like to watch and exercise with others in-person,"Not sure I can attend, but please keep me informed"
199,Sweden,,,,Learner,I would like to get more information and decide later,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
141,Finland,Computer and Information Sciences,Graduate student,,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
87,Norway,Earth and Related Environmental Sciences,Graduate student,Educational institute,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
34,Sweden,Computer and Information Sciences,Researcher,Friend / Colleague,Instructor,I am an organizer or instructor or observer,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
155,Sweden,Earth and Related Environmental Sciences,Researcher,Friend / Colleague,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
111,Finland,Computer and Information Sciences,Researcher,Friend / Colleague,Instructor,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
148,Finland,Economics and Business,Graduate student,,Learner,I would like to get more information and decide later,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
209,China,Psychology,Graduate student,,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6); Not sure I can attend, but please keep me informed"
84,Norway,Earth and Related Environmental Sciences,Researcher,National HPC center,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
162,Finland,"Electrical Engineering, Electronic Engineering, Information Engineering",Graduate student,,Learner,I would like to watch and exercise with others in-person,"Not sure I can attend, but please keep me informed"
235,Finland,Computer and Information Sciences,Undergrad. student,National HPC center,Learner,I would like to watch and exercise with others in-person,"Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Not sure I can attend, but please keep me informed"
50,Sweden,Chemical Sciences,Graduate student,Educational institute,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6); Not sure I can attend, but please keep me informed"
52,Sweden,Physical Sciences,Graduate student,,Learner,I would like to get more information and decide later,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
153,Finland,,,,Learner,Only watching the stream,"Not sure I can attend, but please keep me informed"
168,Finland,"Electrical Engineering, Electronic Engineering, Information Engineering",Graduate student,Educational institute,Learner,Only watching the stream,"Not sure I can attend, but please keep me informed"
29,France,Chemical Sciences,Graduate student,Educational institute,Learner,I would like to get more information and decide later,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
217,Sweden,Physical Sciences,Undergrad. student,Friend / Colleague,Learner,I would like to watch and exercise with others in-person,"Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)"
